"biceps","bone","caliper1","caliper2","caliper3","calories","chest","comment","dateTime","fat","hip","lbm","muscle","neck","thigh","visceralFat","waist","water","weight"
0.0,3.3637192,0.0,0.0,0.0,0.0,0.0,"","2021-05-10 09:48",30.555588,0.0,0.0,60.24736,0.0,0.0,13.448914,0.0,49.58331,91.6
0.0,3.3637192,0.0,0.0,0.0,0.0,0.0,"","2021-05-10 09:48",30.555588,0.0,0.0,60.24736,0.0,0.0,13.448914,0.0,49.58331,91.6
0.0,3.209165,0.0,0.0,0.0,0.0,0.0,"","2021-05-03 11:15",30.427885,0.0,0.0,59.96232,0.0,0.0,13.349361,0.0,49.674488,90.8
0.0,3.209165,0.0,0.0,0.0,0.0,0.0,"","2021-05-03 11:15",30.427885,0.0,0.0,59.96232,0.0,0.0,13.349361,0.0,49.674488,90.8
0.0,3.235615,0.0,0.0,0.0,0.0,0.0,"","2021-05-01 12:47",29.827236,0.0,0.0,59.428665,0.0,0.0,13.162697,0.0,50.103348,89.3
0.0,3.235615,0.0,0.0,0.0,0.0,0.0,"","2021-05-01 12:47",29.827236,0.0,0.0,59.428665,0.0,0.0,13.162697,0.0,50.103348,89.3
0.0,3.2463646,0.0,0.0,0.0,0.0,0.0,"","2021-04-30 09:56",30.151075,0.0,0.0,59.687515,0.0,0.0,13.262251,0.0,49.872128,90.1
0.0,3.2463646,0.0,0.0,0.0,0.0,0.0,"","2021-04-30 09:56",30.151075,0.0,0.0,59.687515,0.0,0.0,13.262251,0.0,49.872128,90.1
0.0,3.264562,0.0,0.0,0.0,0.0,0.0,"","2021-04-27 09:37",30.009491,0.0,0.0,59.586918,0.0,0.0,13.224918,0.0,49.97322,89.8
0.0,3.264562,0.0,0.0,0.0,0.0,0.0,"","2021-04-27 09:37",30.009491,0.0,0.0,59.586918,0.0,0.0,13.224918,0.0,49.97322,89.8
0.0,3.2623746,0.0,0.0,0.0,0.0,0.0,"","2021-04-24 11:31",30.588913,0.0,0.0,59.832306,0.0,0.0,13.361805,0.0,49.559517,90.9
0.0,3.2623746,0.0,0.0,0.0,0.0,0.0,"","2021-04-24 11:31",30.588913,0.0,0.0,59.832306,0.0,0.0,13.361805,0.0,49.559517,90.9
0.0,3.2469625,0.0,0.0,0.0,0.0,0.0,"","2021-04-23 10:02",30.283499,0.0,0.0,59.637318,0.0,0.0,13.274694,0.0,49.777576,90.2
0.0,3.2469625,0.0,0.0,0.0,0.0,0.0,"","2021-04-23 10:02",30.283499,0.0,0.0,59.637318,0.0,0.0,13.274694,0.0,49.777576,90.2
0.0,3.2270734,0.0,0.0,0.0,0.0,0.0,"","2021-04-21 10:59",30.4756,0.0,0.0,59.414413,0.0,0.0,13.262251,0.0,49.64042,90.1
0.0,3.2270734,0.0,0.0,0.0,0.0,0.0,"","2021-04-21 10:59",30.4756,0.0,0.0,59.414413,0.0,0.0,13.262251,0.0,49.64042,90.1
0.0,3.1893582,0.0,0.0,0.0,0.0,0.0,"","2021-04-18 12:22",30.023348,0.0,0.0,59.509724,0.0,0.0,13.200029,0.0,49.96333,89.6
0.0,3.1893582,0.0,0.0,0.0,0.0,0.0,"","2021-04-18 12:22",30.023348,0.0,0.0,59.509724,0.0,0.0,13.200029,0.0,49.96333,89.6
0.0,3.2985427,0.0,0.0,0.0,0.0,0.0,"","2021-04-17 11:29",29.98851,0.0,0.0,59.361744,0.0,0.0,13.187586,0.0,49.9882,89.5
0.0,3.2985427,0.0,0.0,0.0,0.0,0.0,"","2021-04-17 11:29",29.98851,0.0,0.0,59.361744,0.0,0.0,13.187586,0.0,49.9882,89.5
0.0,3.2289507,0.0,0.0,0.0,0.0,0.0,"","2021-04-16 09:55",29.895771,0.0,0.0,59.37413,0.0,0.0,13.162697,0.0,50.05442,89.3
0.0,3.2289507,0.0,0.0,0.0,0.0,0.0,"","2021-04-16 09:55",29.895771,0.0,0.0,59.37413,0.0,0.0,13.162697,0.0,50.05442,89.3
0.0,3.2274036,0.0,0.0,0.0,0.0,0.0,"","2021-04-15 09:37",29.871284,0.0,0.0,59.25728,0.0,0.0,13.137808,0.0,50.0719,89.1
0.0,3.2274036,0.0,0.0,0.0,0.0,0.0,"","2021-04-15 09:37",29.871284,0.0,0.0,59.25728,0.0,0.0,13.137808,0.0,50.0719,89.1
0.0,3.2025833,0.0,0.0,0.0,0.0,0.0,"","2021-04-14 09:36",30.171812,0.0,0.0,59.4333,0.0,0.0,13.212475,0.0,49.857323,89.7
0.0,3.2025833,0.0,0.0,0.0,0.0,0.0,"","2021-04-14 09:36",30.171812,0.0,0.0,59.4333,0.0,0.0,13.212475,0.0,49.857323,89.7
0.0,3.2682142,0.0,0.0,0.0,0.0,0.0,"","2021-04-13 09:56",29.541243,0.0,0.0,58.946873,0.0,0.0,13.038256,0.0,50.307552,88.3
0.0,3.2682142,0.0,0.0,0.0,0.0,0.0,"","2021-04-13 09:56",29.541243,0.0,0.0,58.946873,0.0,0.0,13.038256,0.0,50.307552,88.3
0.0,3.3219395,0.0,0.0,0.0,0.0,0.0,"","2021-04-12 09:36",30.144775,0.0,0.0,59.26834,0.0,0.0,13.200029,0.0,49.87663,89.6
0.0,3.3219395,0.0,0.0,0.0,0.0,0.0,"","2021-04-12 09:36",30.144775,0.0,0.0,59.26834,0.0,0.0,13.200029,0.0,49.87663,89.6
0.0,3.2665837,0.0,0.0,0.0,0.0,0.0,"","2021-04-10 14:42",30.618835,0.0,0.0,59.8009,0.0,0.0,13.361805,0.0,49.53815,90.9
0.0,3.2665837,0.0,0.0,0.0,0.0,0.0,"","2021-04-10 14:42",30.618835,0.0,0.0,59.8009,0.0,0.0,13.361805,0.0,49.53815,90.9
0.0,3.4009602,0.0,0.0,0.0,0.0,0.0,"","2021-04-09 21:42",31.365036,0.0,0.0,60.36092,0.0,0.0,13.610689,0.0,49.005363,92.9
0.0,3.2276926,0.0,0.0,0.0,0.0,0.0,"","2021-04-09 21:42",31.350391,0.0,0.0,60.547794,0.0,0.0,13.610689,0.0,49.015823,92.9
0.0,3.4009602,0.0,0.0,0.0,0.0,0.0,"","2021-04-09 21:42",31.365036,0.0,0.0,60.36092,0.0,0.0,13.610689,0.0,49.005363,92.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2017-03-26 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-10-29 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-10-28 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3
